Report Number,Title of Report,Classification,Date,Formula,Year,Month,Season,latitude,longitude,State,Country,Region
9885,Report 9885: Possible vocalization east of Ft.Myers,Class B,2004-12-04T12:00:00Z,2004,2004,December,Winter,26.6878,-81.6143,FL,United States,Southeast
20333,Report 20333: Possible Nighttime Encounter by Girls on Horseback north of Ft. Myers,Class B,1983-07-01T12:00:00Z,1983,1983,July,Summer,26.7621,-81.8539,FL,United States,Southeast
30929,Report 30929: Daylight observation of a hair-covered bipedal figure in the Grassy Waters Preserve,Class A,2003-06-14T12:00:00Z,2003,2003,June,Summer,26.80829,-80.16933,FL,United States,Southeast
45551,Report 45551: Recollection of setting up camp and observing a tall bi-pedal animal running near Palm Beach Gardens,Class B,1974-07-19T12:00:00Z,1974,1974,July,Summer,26.83656,-80.18501,FL,United States,Southeast
35270,Report 35270: City planner sees large upright animal while touring property near Punta Gorda,Class A,2006-03-15T12:00:00Z,2006,2006,March,Spring,26.85451,-81.71583,FL,United States,Southeast
26271,Report 26271: Hunter tells of possible encounters while in the DuPuis Reserve east of Lake Okeechobee,Class B,1998-11-22T12:00:00Z,1998,1998,November,Fall,26.91319,-80.48412,FL,United States,Southeast
35330,"Report 35330: Fish stolen from a boat, possible knocks and vocalizations near Punta Gorda",Class B,2012-05-07T12:00:00Z,2012,2012,May,Spring,26.91675,-81.96517,FL,United States,Southeast
45137,Report 45137: Husband and wife have close encounter while roller blading outside Port Charlotte,Class A,2001-01-20T12:00:00Z,2001,2001,January,Winter,26.9745,-82.1475,FL,United States,Southeast
38104,Report 38104: Possible early morning encounter by a hog hunter in his truck near Jupiter,Class B,2012-12-05T12:00:00Z,2012,2012,December,Winter,26.9807,-80.31353,FL,United States,Southeast
69452,Report 69452: Grandfather and Granddaughter See Figure in Englewood Yard,Class A,2021-03-27T12:00:00Z,2021,2021,March,Spring,27.00061,-82.39019,FL,United States,Southeast
445,Report 445: Boy Scouts have sighting while camping at Quednau Ranch,Class A,1962-08-15T12:00:00Z,1962,1962,August,Summer,27.0047,-82.0332,FL,United States,Southeast
5369,Report 5369: Man recalls childhood evening encounter in Johnathon Dickenson State Park,Class A,2004-08-02T12:00:00Z,2004,2004,August,Summer,27.0099,-80.13215,FL,United States,Southeast
71801,Report 71801: Motorist sighting of a Sasquatch along Hwy 1 north of Jupiter,Class A,2021-11-15T12:00:00Z,2021,2021,November,Fall,27.01091,-80.10344,FL,United States,Southeast
27587,Report 27587: Couple hears an unusual scream while camping overnight on the Peace River,Class B,2005-10-20T12:00:00Z,2005,2005,October,Fall,27.07842,-81.99105,FL,United States,Southeast
12587,Report 12587: Daylight sighting by fishermen near Venice,Class A,1988-08-01T12:00:00Z,1988,1988,August,Summer,27.099,-82.454,FL,United States,Southeast
39014,Report 39014: Passenger on I-75 spots a large animal near Myakka State Park,Class B,2012-12-25T12:00:00Z,2012,2012,December,Winter,27.10589,-82.30699,FL,United States,Southeast
8561,Report 8561: Husband and wife hear early morning vocalizations near back of Myakka State Park,Class B,2004-08-05T12:00:00Z,2004,2004,August,Summer,27.1788,-82.20475,FL,United States,Southeast
47021,Report 47021: Bigfoot crosses SR-72 directly in front a vehicle west of Arcadia and just outside Myakka River State Park,Class A,2014-09-09T12:00:00Z,2014,2014,September,Fall,27.19995,-81.98468,FL,United States,Southeast
10867,Report 10867: Youths have daylight sighting in wooded area of Sarasota.,Class A,1981-08-07T12:00:00Z,1981,1981,August,Summer,27.28518,-82.46557,FL,United States,Southeast
40584,Report 40584: Possible rural encounters experienced by a young man growing up outside Okeechobee,Class B,2009-05-01T12:00:00Z,2009,2009,May,Spring,27.34928,-81.03941,FL,United States,Southeast
57884,Report 57884: Nighttime road crossing outside Parrish,Class A,2017-07-10T12:00:00Z,2017,2017,July,Summer,27.35273,-82.22301,FL,United States,Southeast
13961,Report 13961: Possible stalking of boar hunters at night outside Okeechobee,Class B,2003-08-15T12:00:00Z,2003,2003,August,Summer,27.35644,-80.96515,FL,United States,Southeast
14021,Report 14021: Daylight sighting by two ATV riders near Lake Placid,Class A,2006-03-04T12:00:00Z,2006,2006,March,Spring,27.37341,-81.35876,FL,United States,Southeast
7904,Report 7904: Woman observes small bipedal creature cross 441 near Ft. Drum,Class A,2004-01-18T12:00:00Z,2004,2004,January,Winter,27.3973,-80.8044,FL,United States,Southeast
59537,Report 59537: Possible roadside sighting in the daytime in Myakka City,Class B,2018-06-01T12:00:00Z,2018,2018,June,Summer,27.40743,-82.12901,FL,United States,Southeast
17043,Report 17043: Possible daylight sighting by motorist on I-75 between Sarasota & Bradenton,Class B,2006-11-26T12:00:00Z,2006,2006,November,Fall,27.445,-82.391,FL,United States,Southeast
45566,Report 45566: Hunters in the Big Cypress National Preserve observe large biped traversing their recent path,Class B,2013-12-15T12:00:00Z,2013,2013,December,Winter,27.45883,-80.79379,FL,United States,Southeast
41448,Report 41448: Motorist has daytime sighting along I-75 near Ruskin,Class A,2012-03-29T12:00:00Z,2012,2012,March,Spring,27.66726,-82.43094,FL,United States,Southeast
1061,Report 1061: June 1984 Manatee County FL  Late evening sighting by 9 yr/old camper off Little Manatee River in Ruskin,Class A,1984-06-16T12:00:00Z,1984,1984,June,Summer,27.7068,-82.45165,FL,United States,Southeast
24032,Report 24032: Multiple witness motorist sighting in daylight at the edge of the Alafia River,Class A,1978-01-01T12:00:00Z,1978,1978,January,Winter,27.7752,-81.9755,FL,United States,Southeast
32426,Report 32426: Northbound motorist has daylight observation from I-95 near Fellsmere,Class A,2012-01-21T12:00:00Z,2012,2012,January,Winter,27.78042,-80.55011,FL,United States,Southeast
8935,Report 8935: Various occurences between Lake Kissimmee and Tiger Lake that may be BF-related,Class B,1985-11-15T12:00:00Z,1985,1985,November,Fall,27.84434,-81.30249,FL,United States,Southeast
15310,Report 15310: Possible daylight sighting by fisherman near Bartow,Class B,1995-05-01T12:00:00Z,1995,1995,May,Spring,27.8565,-81.8995,FL,United States,Southeast
12732,Report 12732: Couple describes vocals and a sighting on their fence-line outside Mulberry,Class A,2004-10-12T12:00:00Z,2004,2004,October,Fall,27.89469,-81.9742,FL,United States,Southeast
16823,Report 16823: Family describes repeated incidents on their property near Lake Wales.,Class B,2006-12-01T12:00:00Z,2006,2006,December,Winter,27.9013,-81.58581,FL,United States,Southeast
18395,Report 18395: Possible sighting by motorist near the Four Corners phosphate mine,Class B,1996-05-01T12:00:00Z,1996,1996,May,Spring,27.928,-82.124,FL,United States,Southeast
41265,Report 41265: Possible sighitng at dusk by father and daughter riding an ATV near Bartow,Class B,2013-05-16T12:00:00Z,2013,2013,May,Spring,27.93531,-81.87347,FL,United States,Southeast
57991,Report 57991: Large brown figure seen standing in water near Lake Wales,Class B,2017-08-02T12:00:00Z,2017,2017,August,Summer,27.93991,-81.67247,FL,United States,Southeast
3918,"Report 3918: Hunter has unexplained, late night encounter while in small boat on Saddle Creek",Class B,1985-09-01T12:00:00Z,1985,1985,September,Fall,27.9664,-81.95285,FL,United States,Southeast
733,Report 733: creature observed walking weird and slightly hunched over.,Class A,1998-11-22T12:00:00Z,1998,1998,November,Fall,27.97255,-81.12476,FL,United States,Southeast
736,Report 736: while sitting on a tree stand hunter observed bi-pedal creature walking at high speeds.,Class A,1999-01-02T12:00:00Z,1999,1999,January,Winter,27.99245,-81.19445,FL,United States,Southeast
11812,Report 11812: Twilight sighting on the west side of Lakeland,Class A,1974-09-01T12:00:00Z,1974,1974,September,Fall,28.00845,-81.93871,FL,United States,Southeast
1608,"Report 1608: Noise, like wood being banged against tree. Tracks found",Class B,1980-07-15T12:00:00Z,1980,1980,July,Summer,28.021,-81.8642,FL,United States,Southeast
13034,Report 13034: Early evening sighting by residents on the Hillsborough River,Class A,1955-01-01T12:00:00Z,1955,1955,January,Winter,28.043,-82.438,FL,United States,Southeast
45883,Report 45883: Two deputy sheriffs report hearing possible vocalizations while hog hunting near Poinciana,Class B,2013-04-13T12:00:00Z,2013,2013,April,Spring,28.05144,-81.51359,FL,United States,Southeast
47378,Report 47378: Memory told of a close nighttime encounter while hunting rabbits in a rural backyard near Palm Harbor,Class A,1977-10-21T12:00:00Z,1977,1977,October,Fall,28.09538,-82.74918,FL,United States,Southeast
39338,Report 39338: Possible daylight sighting while riding a dirt bike outside Poinciana,Class B,2013-01-22T12:00:00Z,2013,2013,January,Winter,28.11468,-81.35342,FL,United States,Southeast
62240,Report 62240: Possible daylight sighting by motorist on Highway 301 near Dead River Road,Class B,2018-11-20T12:00:00Z,2018,2018,November,Fall,28.12479,-82.23728,FL,United States,Southeast
42134,Report 42134: Seasoned hunter hears unknown screams from his stand near Holopaw,Class B,2012-11-18T12:00:00Z,2012,2012,November,Fall,28.12565,-81.02086,FL,United States,Southeast
35769,Report 35769: Possible sighting at dawn near road kill on US-192 east of Holopaw,Class B,2011-08-26T12:00:00Z,2011,2011,August,Summer,28.13136,-81.00677,FL,United States,Southeast
734,Report 734: creature seen in the woods.,Class A,1999-05-21T12:00:00Z,1999,1999,May,Spring,28.1382,-81.0621,FL,United States,Southeast
42978,Report 42978: Daytime sighting by a wildlife biologist on a trail in the Cypress Creek Preserve,Class A,2013-11-24T12:00:00Z,2013,2013,November,Fall,28.14162,-82.3948,FL,United States,Southeast
26377,Report 26377: Young man has a close daylight encounter while riding his bike along the Hillsborough River,Class A,2001-01-13T12:00:00Z,2001,2001,January,Winter,28.14617,-82.24487,FL,United States,Southeast
25582,Report 25582: Man observes a bigfoot in his headlights near Holiday,Class A,2009-03-05T12:00:00Z,2009,2009,March,Spring,28.19899,-82.76431,FL,United States,Southeast
50462,Report 50462: Possible daylight road crossing by a blueberry farm in Central Florida,Class B,2015-09-26T12:00:00Z,2015,2015,September,Fall,28.20249,-81.45163,FL,United States,Southeast
33789,Report 33789: Memory told of a close encounter while frogging at night on the upper St. Johns River,Class A,1990-11-23T12:00:00Z,1990,1990,November,Fall,28.20954,-80.83882,FL,United States,Southeast
25381,Report 25381: Large bipedal figure seen leaping across a road near Land O' Lakes,Class C,2004-09-15T12:00:00Z,2004,2004,September,Fall,28.21492,-82.4524,FL,United States,Southeast
15361,Report 15361: Nighttime sighting by motorist near Land O'Lakes,Class A,2006-07-27T12:00:00Z,2006,2006,July,Summer,28.252,-82.44749,FL,United States,Southeast
42293,Report 42293: Possible nighttime sighting while standing with friends outside a rural home near Wesley Chapel,Class B,2010-12-24T12:00:00Z,2010,2010,December,Winter,28.29324,-82.35606,FL,United States,Southeast
26581,"Report 26581: Man remembers observing a hairy, bipedal creature in the headlights of his car near Port Richey",Class A,1982-01-01T12:00:00Z,1982,1982,January,Winter,28.29425,-82.71758,FL,United States,Southeast
29624,Report 29624: Woman recalls nighttime sighting while driving on US-1 near Rockledge,Class A,1998-06-22T12:00:00Z,1998,1998,June,Summer,28.31193,-80.7217,FL,United States,Southeast
731,Report 731: Motorist found six thirteen by eight and a half inch tracks near a small bridge that led to a large gate.,Class A,1999-03-13T12:00:00Z,1999,1999,March,Spring,28.3609,-80.93504,FL,United States,Southeast
32308,Report 32308: Possible nighttime encounter experienced by campers in the West Tract of the Green Swamp Preserve,Class B,2011-12-12T12:00:00Z,2011,2011,December,Winter,28.36168,-82.11937,FL,United States,Southeast
591,"Report 591: Driver stops car momentarily on Nova Rd., witnesses a 7-8 foot tall dark creature approach his car..",Class A,1989-09-15T12:00:00Z,1989,1989,September,Fall,28.3725,-80.8595,FL,United States,Southeast
737,Report 737: creature seen in an open field by witness.,Class A,1984-06-15T12:00:00Z,1984,1984,June,Summer,28.3836,-82.6053,FL,United States,Southeast
34787,Report 34787: Memory told of hearing a  loud breathing-growl while camping at Disney's Fort Wilderness,Class B,1983-08-25T12:00:00Z,1983,1983,August,Summer,28.40593,-81.5547,FL,United States,Southeast
7627,Report 7627: Man recalls childhood encounter near Hudson,Class B,2004-02-15T12:00:00Z,2004,2004,February,Winter,28.41655,-82.1426,FL,United States,Southeast
59236,Report 59236: Close road side sighting while driving early in the morning West of Longwood,Class A,2017-01-31T12:00:00Z,2017,2017,January,Winter,28.42146,-81.23721,FL,United States,Southeast
26823,Report 26823: Daylight sighting by hunter and son in Richloam Wildlife Management Area,Class A,2009-10-18T12:00:00Z,2009,2009,October,Fall,28.44926,-81.95577,FL,United States,Southeast
28200,Report 28200: Father and son have very close daylight sighting in the Green Swamp,Class A,2009-10-10T12:00:00Z,2009,2009,October,Fall,28.44926,-81.95577,FL,United States,Southeast
41275,Report 41275: Possible nighttime road crossing on HWY 528 outside Orlando,Class B,2013-05-23T12:00:00Z,2013,2013,May,Spring,28.45247,-81.01299,FL,United States,Southeast
36915,Report 36915: Possible daytime encounter by a father and son hunting in the Richloam Wildlife Management Area,Class B,2012-11-11T12:00:00Z,2012,2012,November,Fall,28.45786,-82.04508,FL,United States,Southeast
25577,Report 25577: Kayaker smells a terrible odor and then sees a hair-covered figure on the Econlockhatchee River,Class B,2003-03-15T12:00:00Z,2003,2003,March,Spring,28.48106,-81.11927,FL,United States,Southeast
30679,Report 30679: Nighttime sighting by a motorist outside Port St. John,Class A,2011-09-17T12:00:00Z,2011,2011,September,Fall,28.48899,-80.84716,FL,United States,Southeast
28237,"Report 28237: Weekend camping trip in the Green Swamp is interrupted by a hairy, bipedal intruder",Class A,2010-09-05T12:00:00Z,2010,2010,September,Fall,28.50566,-81.97483,FL,United States,Southeast
723,Report 723: creature sitting on a wood pile seen watching witness.,Class A,1969-06-15T12:00:00Z,1969,1969,June,Summer,28.50665,-82.50591,FL,United States,Southeast
41309,Report 41309: Possible daylight sighting by a bicyclist on the General James A. Van Fleet State Trail,Class B,2013-04-29T12:00:00Z,2013,2013,April,Spring,28.525,-81.95499,FL,United States,Southeast
22074,Report 22074: Possible early morning encounter by hunters in the Green Swamp,Class B,2005-09-01T12:00:00Z,2005,2005,September,Fall,28.54028,-82.11083,FL,United States,Southeast
32746,Report 32746: Man recalls his nighttime sighting of a tall hair covered biped outside Orlando,Class A,2000-02-28T12:00:00Z,2000,2000,February,Winter,28.54205,-81.20045,FL,United States,Southeast
36826,Report 36826: Car passenger spots a large brown figure at the St. John's River near Christmas,Class B,2012-10-27T12:00:00Z,2012,2012,October,Fall,28.54293,-80.94411,FL,United States,Southeast
15694,Report 15694: Possible daytime sighting by motorist on FL Turnpike outside Orlando (near Ocoee exit),Class B,2006-09-02T12:00:00Z,2006,2006,September,Fall,28.5465,-81.5545,FL,United States,Southeast
56165,Report 56165: Family views something standing in a field in the Chassahowitzka Wildlife Area,Class B,2016-12-22T12:00:00Z,2016,2016,December,Winter,28.55359,-82.63696,FL,United States,Southeast
12628,Report 12628: Possible sighting in woods separating farms west of Tarrytown,Class B,1990-06-01T12:00:00Z,1990,1990,June,Summer,28.555,-82.055,FL,United States,Southeast
36710,Report 36710: Small school group observe man-like figure on two separate nights east of Orlando,Class B,2012-10-19T12:00:00Z,2012,2012,October,Fall,28.56308,-81.03185,FL,United States,Southeast
6708,Report 6708: Man has brief encounter near lake,Class A,2004-02-17T12:00:00Z,2004,2004,February,Winter,28.5716,-82.52655,FL,United States,Southeast
37304,Report 37304: Best friends recall watching their dirt bike being canvassed by a hairy biped while camping at Lake Mills,Class A,1972-07-29T12:00:00Z,1972,1972,July,Summer,28.62323,-81.12898,FL,United States,Southeast
24134,Report 24134: Homeowner hears possible howls east of Winter Springs,Class B,2008-06-30T12:00:00Z,2008,2008,June,Summer,28.63434,-81.14076,FL,United States,Southeast
1079,Report 1079: Foot steps heard in wood line. Weeks later more sounds heard,Class B,1981-10-15T12:00:00Z,1981,1981,October,Fall,28.662,-81.31985,FL,United States,Southeast
1275,Report 1275: Bigfoot rips door off of home. Witness has to flee from home,Class A,1980-04-15T12:00:00Z,1980,1980,April,Spring,28.6901,-81.5446,FL,United States,Southeast
43381,Report 43381: Driver sees a large animal possibly stalking wild boar outside Bushnell,Class B,2012-10-15T12:00:00Z,2012,2012,October,Fall,28.69205,-81.7089,FL,United States,Southeast
2157,"Report 2157: Footprints discovered, crashing in the underbrush nearby, strong odor.",Class B,1997-08-22T12:00:00Z,1997,1997,August,Summer,28.725,-97.06667,FL,United States,Southeast
595,"Report 595: Father and son were out scouting for deer when they spot large eyes 8 foot off the gound, also hear loud scream.",Class B,1983-07-16T12:00:00Z,1983,1983,July,Summer,28.76465,-82.42065,FL,United States,Southeast
14118,Report 14118: Night time sighting by motorist on CR 448 near Lake Jem,Class A,1985-11-01T12:00:00Z,1985,1985,November,Fall,28.775,-81.6965,FL,United States,Southeast
19958,Report 19958: Dusk sighting by hikers in Flat Island Preserve,Class A,2007-07-12T12:00:00Z,2007,2007,July,Summer,28.78028,-81.90477,FL,United States,Southeast
29565,Report 29565: Man describes several compelling incidents while hunting in the Withlacoochee State Forest,Class A,2010-09-16T12:00:00Z,2010,2010,September,Fall,28.78812,-82.40295,FL,United States,Southeast
8832,"Report 8832: While driving, young woman has afternoon sighting near South Texas Project.",Class B,2004-06-30T12:00:00Z,2004,2004,June,Summer,28.8,-96.04472,FL,United States,Southeast
22358,Report 22358: Hiker Discovers Possible Bigfoot Scat in Rock Springs State Park,Class B,2007-03-15T12:00:00Z,2007,2007,March,Spring,28.80455,-81.45354,FL,United States,Southeast
28450,Report 28450: Possible footprint found and vocalizations heard in the Flying Eagle Wildlife Management Area,Class B,2010-10-31T12:00:00Z,2010,2010,October,Fall,28.84542,-82.20726,FL,United States,Southeast
746,Report 746: Sighting by two newspaper deliverymen around 3:30 a.m,Class A,1989-04-17T12:00:00Z,1989,1989,April,Spring,28.85025,-80.93919,FL,United States,Southeast
44404,Report 44404: Memory told of a possible night encounter while camping near Sanford,Class B,2003-04-15T12:00:00Z,2003,2003,April,Spring,28.8555,-81.306,FL,United States,Southeast
32249,Report 32249: Memory told of close encounters while working as a fence contractor near Cassia,Class A,2007-04-10T12:00:00Z,2007,2007,April,Spring,28.85982,-81.48534,FL,United States,Southeast
23696,Report 23696: Huge creature stands in headlights on rural road near Leesburg,Class A,1993-05-01T12:00:00Z,1993,1993,May,Spring,28.86151,-81.7757,FL,United States,Southeast
28678,Report 28678: Man recalls a possible up-close nighttime encounter on Gilchrist Island,Class B,1961-03-18T12:00:00Z,1961,1961,March,Spring,28.90854,-82.34611,FL,United States,Southeast
35574,Report 35574: Possible sighting and footprints found by father and son while setting turtle lines outside Deltona,Class B,2012-05-28T12:00:00Z,2012,2012,May,Spring,28.91605,-81.32394,FL,United States,Southeast
13976,Report 13976: Possible tracks and sounds outside a home near Lady Lake,Class B,1980-02-01T12:00:00Z,1980,1980,February,Winter,28.917,-81.898,FL,United States,Southeast
29529,Report 29529: Fishing guide with clients approached by a Florida Skunk-Ape in the Merritt Island National Wildlife Refuge (includes witness sketch),Class A,2011-04-15T12:00:00Z,2011,2011,April,Spring,28.93312,-80.84301,FL,United States,Southeast
38923,Report 38923: Possible nighttime activity in the retirement community The Villages,Class B,2013-12-13T12:00:00Z,2013,2013,December,Winter,28.94296,-81.97549,FL,United States,Southeast
40901,"Report 40901: More possible activity from the ""Mole Man"" at Lake Helen",Class B,2013-02-24T12:00:00Z,2013,2013,February,Winter,28.96416,-81.21989,FL,United States,Southeast
14100,Report 14100: Knocks heard in the Ocala National Forest,Class B,2006-03-11T12:00:00Z,2006,2006,March,Spring,28.966,-81.649,FL,United States,Southeast
36112,"Report 36112: Possible nighttime sighting brings about ongoing investigation of several Cassadaga incidents and legend of the ""Mole Man""",Class B,2012-07-27T12:00:00Z,2012,2012,July,Summer,28.97672,-81.23386,FL,United States,Southeast
10273,Report 10273: Teen has visual encounter through window.,Class A,2005-01-17T12:00:00Z,2005,2005,January,Winter,28.97944,-96.01666,TX,United States,Southwest
2848,Report 2848: Large  humanoid figure seen at night near beach,Class B,2004-11-07T12:00:00Z,2004,2004,November,Fall,28.98195,-80.86715,FL,United States,Southeast
31153,Report 31153: Ongoing activity on a family farm near Paisley,Class B,2011-07-04T12:00:00Z,2011,2011,July,Summer,28.98491,-81.43248,FL,United States,Southeast
747,Report 747: 1. loud vocalization sounds woke sleeping couple. 2. family dog found injured,Class B,1999-10-15T12:00:00Z,1999,1999,October,Fall,28.9935,-80.933,FL,United States,Southeast
19354,Report 19354: Woman recalls childhood incident -- red eyes looking into window near Withlacoochee River.,Class B,1993-07-01T12:00:00Z,1993,1993,July,Summer,28.99487,-81.78879,FL,United States,Southeast
37275,Report 37275: Dusk sighting of a bigfoot tree knocking in the Ocala National Forest,Class A,2012-11-11T12:00:00Z,2012,2012,November,Fall,28.99496,-81.59869,FL,United States,Southeast
11927,Report 11927: Two witnesses hear a possible vocalization in woods near creek Bay City.,Class B,2005-02-01T12:00:00Z,2005,2005,February,Winter,29,-95.5,FL,United States,Southeast
